index,split
0,train
1,test
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,test
15,train
16,train
17,train
18,train
19,train
20,test
21,test
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,test
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,test
50,train
51,test
52,train
53,test
54,train
55,test
56,train
57,train
58,test
59,test
60,train
61,train
62,train
63,train
64,test
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,test
74,train
75,train
76,test
77,train
78,train
79,train
80,train
81,train
82,train
83,test
84,train
85,train
86,train
87,train
88,train
89,test
90,train
91,train
92,train
93,train
94,test
95,train
96,test
97,test
98,train
99,train
100,train
101,train
102,test
103,test
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,test
114,train
115,train
116,test
117,train
118,test
119,test
120,train
121,train
122,train
123,train
124,test
125,test
126,train
127,train
128,train
129,train
130,test
131,train
132,train
133,train
134,train
135,train
136,test
137,train
138,train
139,train
140,train
141,train
142,test
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,test
155,test
156,train
157,train
158,train
159,train
160,train
161,test
162,train
163,test
164,train
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,test
182,test
183,train
184,test
185,train
186,train
187,train
188,train
189,train
190,train
191,test
192,train
193,test
194,train
195,train
196,train
197,test
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,test
210,train
211,train
212,train
213,train
214,train
215,train
216,test
217,train
218,train
219,train
220,train
221,train
222,train
223,test
224,train
225,train
226,test
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,test
235,test
236,train
237,test
238,train
239,train
240,train
241,test
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,train
259,train
260,train
261,train
262,train
263,test
264,test
265,train
266,train
267,test
268,train
269,train
270,train
271,test
272,test
273,train
274,train
275,test
276,test
277,train
278,train
279,train
280,train
281,train
282,test
283,train
284,train
285,test
